locus_id,species,proxy_species,tier,tier_reason,ref_genome_text,ref_genome_accession,source_assembly,anchor_type,n_candidate_genes
S001,Salmo salar,,B,no usable marker coordinate; anchored on reported candidate gene(s),ASalBase draft assembly,,GCF_965601325.1,,1
S002,Salmo salar,,B,no usable marker coordinate; anchored on reported candidate gene(s),AGKD00000000.4,,GCF_965601325.1,,1
S003,Ictalurus punctatus,,U,no usable coordinate and no parsable candidate gene symbol,Coco_1.0,GCF_001660625.1,GCF_001660625.3,,0
S004,Ictalurus punctatus,,U,no usable coordinate and no parsable candidate gene symbol,Channel catfish reference genome,,GCF_001660625.3,,0
S005,Epinephelus lanceolatus,,B,position unusable (assembly not stated) and no candidate gene reported,NR,,GCF_041903045.1,snp,0
S006,Epinephelus lanceolatus,,B,position unusable (assembly not stated) and no candidate gene reported,NR,,GCF_041903045.1,snp,0
S007,Epinephelus lanceolatus,,B,position unusable (assembly not stated) and no candidate gene reported,NR,,GCF_041903045.1,snp,0
S008,Epinephelus fuscoguttatus,,B,position reported but assembly not stated or ambiguous; falls back to gene anchoring,NR,,GCF_011397635.1,snp,1
S009,Hypophthalmichthys nobilis,Ctenopharyngodon idella,B,no usable marker coordinate; anchored on reported candidate gene(s),NR,,GCF_019924925.1,,1
S010,Micropterus salmoides,,A2,"exact position on stated chromosome-level assembly GCA_019677235.1, but gene annotation taken from GCF_014851395.1; coordinate systems differ",GCA_019677235.1,GCA_019677235.1,GCF_014851395.1,snp,3
S011,Micropterus salmoides,,A2,"exact position on stated chromosome-level assembly GCA_019677235.1, but gene annotation taken from GCF_014851395.1; coordinate systems differ",GCA_019677235.1,GCA_019677235.1,GCF_014851395.1,snp,0
S012,Micropterus salmoides,,A2,"exact position on stated chromosome-level assembly GCA_019677235.1, but gene annotation taken from GCF_014851395.1; coordinate systems differ",GCA_019677235.1,GCA_019677235.1,GCF_014851395.1,snp,0
S013,Lateolabrax maculatus,,B,position reported but assembly not stated or ambiguous; falls back to gene anchoring,L. maculatus improved draft,,GCA_031216445.1,snp,1
