locus_id,species,assembly,anchor_kind,anchor_label,matched_symbol,resolution_method,src_seqid,src_pos,n_genes,n_orth,n_support,cat_chrom,cat_seqid,rho,proj_start,proj_end,proj_point,span,anchor_ortholog,p_coloc,collinear_frac,conservation_class
S001,Salmo salar,GCF_965601325.1,gene,E2F,e2f1,source:duplicate-suffix,NC_138303.1,34461945,21,8,7,chr16,NC_069725.1,-0.25,21442817,23394981,23361901,1952164,e2f1,5.185840376909025e-13,0.857,strong
S008,Epinephelus fuscoguttatus,GCF_011397635.1,gene,bmp2k,bmp2k,source:exact/synonym,NC_064757.1,42152405,21,14,13,chr24,NC_069733.1,-1.0,11956647,12548034,12122589,591387,bmp2k,4.545720361210099e-24,1.0,strong
S009,Hypophthalmichthys nobilis,GCF_019924925.1,gene,fndc5b,fndc5b,source:exact/synonym,NC_067238.1,22345352,21,20,19,chr29,NC_069738.1,1.0,7133752,8249561,7723719,1115809,fndc5b,3.254130273935032e-35,1.0,strong
S010,Micropterus salmoides,GCF_014851395.1,gene,igf1,igf1,source:exact/synonym,NW_024041484.1,20523910,21,19,9,chr18,NC_069727.1,0.9833333333333332,1244173,3569837,3412760,2325664,igf1,9.209593346144497e-13,0.889,strong
S010,Micropterus salmoides,GCF_014851395.1,gene,myf5,myf5,source:exact/synonym,NW_024041484.1,19751846,21,17,8,chr18,NC_069727.1,-1.0,1244173,1617224,1462791,373051,myf5,1.8771492928204855e-11,1.0,strong
S010,Micropterus salmoides,GCF_014851395.1,gene,myf6,myf6,source:exact/synonym,NW_024041484.1,19757545,21,18,8,chr18,NC_069727.1,-1.0,1244173,1617224,1444948,373051,myf6,3.3396300054674085e-11,1.0,strong
S013,Lateolabrax maculatus,GCA_031216445.1,gene,SORCS2,sorcs2,source:exact/synonym,CM062207.1,16154846,21,17,6,chr4,NC_069713.1,0.1428571428571428,19628254,21722389,23182015,2094135,,5.480593325655092e-08,0.833,strong
S014,Lateolabrax maculatus,GCA_031216445.1,gene,SORCS2,sorcs2,source:exact/synonym,CM062207.1,16154846,21,17,6,chr4,NC_069713.1,0.1428571428571428,19628254,21722389,23182015,2094135,,5.480593325655092e-08,0.833,strong
S015,Lateolabrax maculatus,GCA_031216445.1,gene,SLC7A8,slc7a8a,source:duplicate-suffix,CM062207.1,6690081,21,14,14,chr4,NC_069713.1,0.912087912087912,11367649,11979473,11575940,611824,slc7a8a,4.299898583623572e-27,0.714,strong
S017,Oreochromis niloticus,GCF_001858045.2,gene,galnt9,galnt9,source:exact/synonym,NC_031977.2,8960129,21,19,10,chr24,NC_069733.1,0.3939393939393939,16680696,19927353,19362993,3246657,galnt9,1.2178115122623603e-14,0.7,strong
S017,Oreochromis niloticus,GCF_001858045.2,gene,esrrg,esrrga,source:duplicate-suffix,NC_031965.2,26557852,21,14,5,chr10,NC_069719.1,-1.0,23475753,24040643,23773737,564890,esrrga,6.951069619744581e-07,1.0,moderate
S018,Epinephelus tukula,GCF_041903045.1,gene,CCDC102A,ccdc102a,source:exact/synonym,NC_135735.1,5338707,21,20,8,chr11,NC_069720.1,-0.4285714285714286,807434,10535948,807434,9728514,ccdc102a,9.392136246587803e-11,0.625,moderate
