locus_id,anchor_id,anchor_kind,anchor_gene,species,source_assembly,chrom,pos,tier
S001,S001:E2F,gene,E2F,Salmo salar,GCF_965601325.1,Ssa13,,B
S002,S002:RAI2,gene,RAI2,Salmo salar,GCF_965601325.1,Ssa17,,B
S008,S008:bmp2k,gene,bmp2k,Epinephelus fuscoguttatus,GCF_011397635.1,Chr 23,29601315.0,B
S009,S009:fndc5b,gene,fndc5b,Hypophthalmichthys nobilis,GCF_019924925.1,LG16,,B
S010,S010:pos,snp,,Micropterus salmoides,GCF_014851395.1,Chr 23,8370508.0,A2
S010,S010:igf1,gene,igf1,Micropterus salmoides,GCF_014851395.1,Chr 23,8370508.0,A2
S010,S010:myf5,gene,myf5,Micropterus salmoides,GCF_014851395.1,Chr 23,8370508.0,A2
S010,S010:myf6,gene,myf6,Micropterus salmoides,GCF_014851395.1,Chr 23,8370508.0,A2
S011,S011:pos,snp,,Micropterus salmoides,GCF_014851395.1,Chr 23,20121867.0,A2
S012,S012:pos,snp,,Micropterus salmoides,GCF_014851395.1,Chr 1,3391027.0,A2
S013,S013:SORCS2,gene,SORCS2,Lateolabrax maculatus,GCA_031216445.1,Chr 16,13133726.0,B
S014,S014:SORCS2,gene,SORCS2,Lateolabrax maculatus,GCA_031216445.1,Chr 16,13209537.0,B
S015,S015:ZNF436,gene,ZNF436,Lateolabrax maculatus,GCA_031216445.1,Chr 16,14468078.0,B
S015,S015:SLC7A8,gene,SLC7A8,Lateolabrax maculatus,GCA_031216445.1,Chr 16,14468078.0,B
S017,S017:pos,snp,,Oreochromis niloticus,GCF_001858045.2,Chr 7,47464467.0,A1
S017,S017:galnt9,gene,galnt9,Oreochromis niloticus,GCF_001858045.2,Chr 7,47464467.0,A1
S017,S017:esrrg,gene,esrrg,Oreochromis niloticus,GCF_001858045.2,Chr 7,47464467.0,A1
S018,S018:CCDC102A,gene,CCDC102A,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S018,S018:NTRK2,gene,NTRK2,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S018,S018:CTSL,gene,CTSL,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S018,S018:OTOF,gene,OTOF,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S018,S018:nestin,gene,nestin,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S018,S018:nes,gene,nes,Epinephelus tukula,GCF_041903045.1,Chr 3,7087462.0,B
S023,S023:rrp44,gene,rrp44,Ictalurus punctatus,GCF_001660625.3,Chr 20,14657971.0,B
S024,S024:rrp44,gene,rrp44,Ictalurus punctatus,GCF_001660625.3,Chr 20,14658012.0,B
S025,S025:aig1,gene,aig1,Culter alburnus,GCA_040182925.1,Chr 16 / Chr 19,,B
S025,S025:cacna1b,gene,cacna1b,Culter alburnus,GCA_040182925.1,Chr 16 / Chr 19,,B
S025,S025:pgm5,gene,pgm5,Culter alburnus,GCA_040182925.1,Chr 16 / Chr 19,,B
S025,S025:bcr,gene,bcr,Culter alburnus,GCA_040182925.1,Chr 16 / Chr 19,,B
S026,S026:HS6ST1,gene,HS6ST1,Channa maculata,GCF_033026475.1,,,B
S027,S027:UBL5,gene,UBL5,Ctenopharyngodon idella,GCF_019924925.1,,,B
W001,W001:MDH,gene,MDH,Salmo salar,GCF_965601325.1,,,B
W001,W001:FRA10AC1,gene,FRA10AC1,Salmo salar,GCF_965601325.1,,,B
W001,W001:E2F,gene,E2F,Salmo salar,GCF_965601325.1,,,B
W002,W002:RAI2,gene,RAI2,Salmo salar,GCF_965601325.1,,,B
W002,W002:POMT1,gene,POMT1,Salmo salar,GCF_965601325.1,,,B
W002,W002:AGRN,gene,AGRN,Salmo salar,GCF_965601325.1,,,B
W002,W002:NOTCH3,gene,NOTCH3,Salmo salar,GCF_965601325.1,,,B
W002,W002:MYH9,gene,MYH9,Salmo salar,GCF_965601325.1,,,B
W002,W002:MYO18AB,gene,MYO18AB,Salmo salar,GCF_965601325.1,,,B
W004,W004:Sox2,gene,Sox2,Oncorhynchus mykiss,GCF_013265735.2,,,B
W004,W004:Trim33,gene,Trim33,Oncorhynchus mykiss,GCF_013265735.2,,,B
W004,W004:Ksr1,gene,Ksr1,Oncorhynchus mykiss,GCF_013265735.2,,,B
W006,W006:VTN,gene,VTN,Salmo salar,GCF_965601325.1,,,B
W006,W006:MRAP2,gene,MRAP2,Salmo salar,GCF_965601325.1,,,B
W007,W007:igf1,gene,igf1,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:igf3,gene,igf3,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:grb10,gene,grb10,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:igf1r,gene,igf1r,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:notch2,gene,notch2,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:sfrp2,gene,sfrp2,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:srpk2,gene,srpk2,Cyprinus carpio,GCF_018340385.1,,,B
W007,W007:fsrp5,gene,fsrp5,Cyprinus carpio,GCF_018340385.1,,,B
W008,W008:npy2r,gene,npy2r,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:adgrb2,gene,adgrb2,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:csnk2a1,gene,csnk2a1,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:cers5,gene,cers5,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:col22a1,gene,col22a1,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:creb5,gene,creb5,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:dnd1,gene,dnd1,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:dzank1,gene,dzank1,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:dnai1,gene,dnai1,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:fat3,gene,fat3,Epinephelus coioides,GCA_051314025.1,,,B
W008,W008:lrrk2,gene,lrrk2,Epinephelus coioides,GCA_051314025.1,,,B
