locus_id,species,assembly,query_symbol,matched_symbol,gene_id,protein_id,has_protein,has_cds,protein_len,cds_len
L025,Nibea albiflora,GCA_014281875.1,PLA2G4A,PLA2G4A,GBF38_007551,KAG8003169.1,True,True,749,2250
L025,Nibea albiflora,GCA_014281875.1,BRINP3,BRINP3,GBF38_018459,,False,False,0,0
L025,Nibea albiflora,GCA_014281875.1,P2RY1,P2RY1,GBF38_020580,KAG8012711.1,True,True,356,1071
S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,KAN7061249.1,True,True,1163,3492
S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,KAN7061249.1,True,True,1163,3492
S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,slc7a8a,Q5Y98_017195,KAN7061166.1,True,True,525,1578
W042,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,KAN7061249.1,True,True,1163,3492
W042,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,slc7a8a,Q5Y98_017195,KAN7061166.1,True,True,525,1578
W043,Lateolabrax maculatus,GCA_031216445.1,c4b,c4b,Q5Y98_007203,KAN7098500.1,True,True,1712,5139
W043,Lateolabrax maculatus,GCA_031216445.1,fgf4,fgf4,Q5Y98_004253,KAN7099768.1,True,True,225,678
W043,Lateolabrax maculatus,GCA_031216445.1,dnajb9,dnajb9a,Q5Y98_024170,KAN7035148.1,True,True,216,651
W059,Lateolabrax maculatus,GCA_031216445.1,cdk5,cdk5,Q5Y98_012393,KAN7081351.1,True,True,292,879
S025,Culter alburnus,GCA_040182925.1,aig1,ABG768_014434,ABG768_014434,KAK9956721.1,True,True,239,720
S025,Culter alburnus,GCA_040182925.1,cacna1b,ABG768_023021,ABG768_023021,KAK9974957.1,True,True,2284,6855
S025,Culter alburnus,GCA_040182925.1,pgm5,ABG768_026559,ABG768_026559,KAK9970632.1,True,True,567,1704
S025,Culter alburnus,GCA_040182925.1,bcr,ABG768_015116,ABG768_015116,KAK9955230.1,True,True,1341,4026
W057,Culter alburnus,GCA_040182925.1,aig1,ABG768_014434,ABG768_014434,KAK9956721.1,True,True,239,720
