hotspot_id,cat_chrom,start,end,span,n_loci,n_species,n_studies,classes,traits,species,loci,consistency_check
H001,chr1,2292530,2825976,533446,2,2,2,moderate;strong,Growth,Epinephelus coioides;Oreochromis niloticus,L029;W024,OK
H002,chr1,4809318,4809318,0,1,1,1,moderate,Growth,Salmo salar,W006,OK
H003,chr1,9521722,9521722,0,1,1,1,unsupported,Growth,Micropterus salmoides,W044,OK
H004,chr1,13909802,13909802,0,1,1,1,strong,Growth,Lateolabrax maculatus,W059,OK
H005,chr1,19790995,20298848,507853,4,3,3,moderate;strong,Growth,Epinephelus coioides;Epinephelus tukula;Siniperca chuatsi,S018;W008;W033;W049,OK
H006,chr1,22171580,22171580,0,1,1,1,strong,Growth,Lateolabrax maculatus,W043,OK
H007,chr10,3732442,3732442,0,1,1,1,moderate,Growth,Cynoglossus semilaevis,L006,OK
H008,chr10,11533998,11533998,0,1,1,1,moderate,Growth,Sparus aurata,W046,OK
H009,chr10,20377830,21893414,1515584,2,2,2,strong,Growth,Hypophthalmichthys nobilis;Oreochromis niloticus,L012;W020,OK
H010,chr10,23773737,23773737,0,1,1,1,moderate,Growth,Oreochromis niloticus,S017,OK
H011,chr10,28236724,29529514,1292790,2,2,2,moderate;strong,Growth,Larimichthys polyactis;Oreochromis niloticus,L018;W054,OK
H012,chr11,56204,807434,751230,3,2,2,moderate,Growth,Epinephelus tukula;Larimichthys crocea,S018;W012;W049,OK
H013,chr11,4021960,4819095,797135,4,3,4,moderate;strong,Growth,Larimichthys crocea;Lateolabrax maculatus;Oncorhynchus mykiss,W018;W019;W022;W043,OK
H014,chr11,5407086,6128471,721385,2,2,2,moderate;strong,Growth,Clarias macrocephalus;Epinephelus fuscoguttatus,W017;W035,OK
H015,chr11,7744533,9595220,1850687,4,4,4,moderate;native;strong,Growth,Cynoglossus semilaevis;Epinephelus lanceolatus;Oreochromis niloticus;Pangasianodon hypophthalmus,C010;L006;W011;W025,OK
H016,chr11,11776287,11776287,0,1,1,1,moderate,Growth,Oncorhynchus mykiss,W004,OK
H017,chr11,15170209,16111478,941269,3,3,3,strong;weak,Growth,Oreochromis niloticus;Paralichthys olivaceus;Sparus aurata,W015;W032;W046,OK
H018,chr11,21456709,21456709,0,1,1,1,strong,Growth,Hypophthalmichthys nobilis,W020,OK
H019,chr11,23541189,24167390,626201,2,2,2,moderate;strong,Growth,Epinephelus coioides;Nibea albiflora,L025;L029,OK
H020,chr12,697634,1588169,890535,3,2,2,strong,Growth,Siniperca chuatsi;Tachysurus fulvidraco,C003;W033;W034,OK
H021,chr12,6222811,6222811,0,1,1,1,strong,Growth,Salmo salar,W001,OK
H022,chr12,13691784,15476928,1785144,3,2,3,moderate;strong,Growth,Larimichthys crocea;Micropterus salmoides,L003;W018;W052,OK
H023,chr13,6022088,6766808,744720,4,4,4,strong,Growth,Clarias fuscus;Micropterus salmoides;Oncorhynchus mykiss;Tachysurus fulvidraco,L005;W023;W034;W052,OK
H024,chr13,15669976,15669976,0,1,1,1,strong,Growth,Siniperca chuatsi,W033,OK
H025,chr13,23421421,24079708,658287,3,2,2,native;weak,Growth,Pangasianodon hypophthalmus;Plecoglossus altivelis,C011;C012;W061,OK
H026,chr14,2486409,2486409,0,1,1,1,moderate,Growth,Epinephelus coioides,W008,OK
H027,chr14,6492215,6492215,0,1,1,1,strong,Growth,Oreochromis niloticus,L012,OK
H028,chr14,10756447,10756447,0,1,1,1,moderate,Growth,Salmo salar,W002,OK
H029,chr14,16377488,17248459,870971,3,2,2,strong,Growth,Clarias macrocephalus;Ctenopharyngodon idella,C005;W035;W041,OK
H030,chr14,21886505,21886505,0,1,1,1,moderate,Growth,Siniperca chuatsi,W045,OK
H031,chr14,24825875,24825875,0,1,1,1,strong,Growth,Cyprinus carpio,W016,OK
H032,chr15,3077352,3077352,0,1,1,1,strong,Growth,Salmo salar,W006,OK
H033,chr15,5070036,6206666,1136630,2,2,2,strong,Growth,Channa argus;Hemibagrus wyckioides,C019;L002,OK
H034,chr15,12616181,12616181,0,1,1,1,native,Growth,Pangasianodon hypophthalmus,C008,OK
H035,chr15,16933701,16933701,0,1,1,1,weak,Growth,Micropterus salmoides,L004,OK
H036,chr15,21502953,22151890,648937,3,2,2,strong,Growth,Culter alburnus;Epinephelus coioides,S025;W008;W057,OK
H037,chr15,25377394,25377394,0,1,1,1,weak,Growth,Epinephelus coioides,L029,OK
H038,chr16,607078,607078,0,1,1,1,strong,Growth,Scatophagus argus,L020,OK
H039,chr16,3180116,4815314,1635198,2,2,2,moderate;strong,Growth,Epinephelus coioides;Oreochromis niloticus,W037;W054,OK
H040,chr16,7557772,7557772,0,1,1,1,strong,Growth,Ctenopharyngodon idella,W041,OK
H041,chr16,13648364,13648364,0,1,1,1,strong,Growth,Larimichthys crocea,W012,OK
H042,chr16,16197164,16197164,0,1,1,1,strong,Growth,Scophthalmus maximus,L001,OK
H043,chr16,18414034,18414034,0,1,1,1,strong,Growth,Oncorhynchus mykiss,W010,OK
H044,chr16,23361901,23361901,0,2,1,1,strong,Growth,Salmo salar,S001;W001,OK
H045,chr17,2748705,4484696,1735991,3,3,3,strong,Growth;Growth (morphometric),Cyprinus carpio;Ictalurus punctatus;Oncorhynchus mykiss,C028;L028;W004,OK
H046,chr17,6788722,6788722,0,1,1,1,strong,Growth,Cyprinus carpio,W016,OK
H047,chr17,15870866,15870866,0,1,1,1,moderate,Growth,Micropterus salmoides,L004,OK
H048,chr17,23894263,23894263,0,1,1,1,strong,Growth,Epinephelus coioides,L029,OK
H049,chr18,1462791,3412760,1949969,9,7,8,moderate;native;strong,Growth,Cynoglossus semilaevis;Cyprinus carpio;Dicentrarchus labrax;Micropterus salmoides;Oreochromis niloticus;Pangasianodon hypophthalmus;Tachysurus fulvidraco,C004;C009;L006;L027;L028;S010;W007;W024;W044,OK
H050,chr18,7717272,7717272,0,1,1,1,moderate,Growth,Epinephelus coioides,W037,OK
