locus_id,species,assembly,query_symbol,matched_symbol,gene_id,seqid,start,end,resolution_method,alias_note
S001,Salmo salar,GCF_965601325.1,E2F,e2f1,e2f1,NC_138303.1,34459662.0,34464228.0,source:duplicate-suffix,
S002,Salmo salar,GCF_965601325.1,RAI2,,,,,,,
S008,Epinephelus fuscoguttatus,GCF_011397635.1,bmp2k,bmp2k,bmp2k,NC_064757.1,42118718.0,42186093.0,source:exact/synonym,
S009,Hypophthalmichthys nobilis,GCF_019924925.1,fndc5b,fndc5b,fndc5b,NC_067238.1,22328531.0,22362173.0,source:exact/synonym,
S010,Micropterus salmoides,GCF_014851395.1,igf1,igf1,igf1,NW_024041484.1,20514489.0,20533332.0,source:exact/synonym,
S010,Micropterus salmoides,GCF_014851395.1,myf5,myf5,myf5,NW_024041484.1,19750653.0,19753040.0,source:exact/synonym,
S010,Micropterus salmoides,GCF_014851395.1,myf6,myf6,myf6,NW_024041484.1,19756302.0,19758788.0,source:exact/synonym,
S013,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,CM062207.1,16026221.0,16283471.0,source:exact/synonym,
S014,Lateolabrax maculatus,GCA_031216445.1,SORCS2,sorcs2,Q5Y98_017247,CM062207.1,16026221.0,16283471.0,source:exact/synonym,
S015,Lateolabrax maculatus,GCA_031216445.1,ZNF436,,,,,,,
S015,Lateolabrax maculatus,GCA_031216445.1,SLC7A8,slc7a8a,Q5Y98_017195,CM062207.1,6679225.0,6700938.0,source:duplicate-suffix,
S017,Oreochromis niloticus,GCF_001858045.2,galnt9,galnt9,galnt9,NC_031977.2,8913231.0,9007028.0,source:exact/synonym,
S017,Oreochromis niloticus,GCF_001858045.2,esrrg,esrrga,esrrga,NC_031965.2,26470882.0,26644822.0,source:duplicate-suffix,
S018,Epinephelus tukula,GCF_041903045.1,CCDC102A,ccdc102a,ccdc102a,NC_135735.1,5288197.0,5389217.0,source:exact/synonym,
S018,Epinephelus tukula,GCF_041903045.1,NTRK2,ntrk2a,ntrk2a,NC_135742.1,21878686.0,22007210.0,source:duplicate-suffix,
S018,Epinephelus tukula,GCF_041903045.1,CTSL,ctsla,ctsla,NC_135742.1,8493467.0,8499982.0,source:duplicate-suffix,
S018,Epinephelus tukula,GCF_041903045.1,OTOF,otofa,otofa,NC_135746.1,19691446.0,19827515.0,source:duplicate-suffix,
S018,Epinephelus tukula,GCF_041903045.1,nestin,,,,,,,
S018,Epinephelus tukula,GCF_041903045.1,nes,nes,nes,NC_135743.1,5110380.0,5126356.0,source:exact/synonym,
S023,Ictalurus punctatus,GCF_001660625.3,rrp44,,,,,,,
S024,Ictalurus punctatus,GCF_001660625.3,rrp44,,,,,,,
S025,Culter alburnus,GCA_040182925.1,aig1,ABG768_014434,ABG768_014434,CM079601.1,29621420.0,29660332.0,catfish-bridge:RBH,aig1
S025,Culter alburnus,GCA_040182925.1,cacna1b,ABG768_023021,ABG768_023021,CM079586.1,36025365.0,36160082.0,catfish-bridge:RBH,cacna1ba
S025,Culter alburnus,GCA_040182925.1,pgm5,ABG768_026559,ABG768_026559,CM079589.1,22635243.0,22663906.0,catfish-bridge:RBH,pgm5
S025,Culter alburnus,GCA_040182925.1,bcr,ABG768_015116,ABG768_015116,CM079602.1,13039005.0,13109503.0,catfish-bridge:RBH,bcr
S026,Channa maculata,GCF_033026475.1,HS6ST1,hs6st1a,hs6st1a,NC_090212.1,14838213.0,14890222.0,source:duplicate-suffix,
S027,Ctenopharyngodon idella,GCF_019924925.1,UBL5,LOC127518363,LOC127518363,NC_067220.1,3578807.0,3582117.0,catfish-bridge:RBH,ubl5
W001,Salmo salar,GCF_965601325.1,MDH,LOC100194641,LOC100194641,NC_138303.1,76247782.0,76255121.0,catfish-bridge:RBH,mdh2
W001,Salmo salar,GCF_965601325.1,FRA10AC1,fra10ac1,fra10ac1,NC_138318.1,8718774.0,8733813.0,source:exact/synonym,
W001,Salmo salar,GCF_965601325.1,E2F,e2f1,e2f1,NC_138303.1,34459662.0,34464228.0,source:duplicate-suffix,
W002,Salmo salar,GCF_965601325.1,RAI2,,,,,,,
W002,Salmo salar,GCF_965601325.1,POMT1,pomt1,pomt1,NC_138310.1,13272168.0,13286669.0,source:exact/synonym,
W002,Salmo salar,GCF_965601325.1,AGRN,LOC106572186,LOC106572186,NC_138305.1,76307039.0,76566753.0,catfish-bridge:RBH,agrn
W002,Salmo salar,GCF_965601325.1,NOTCH3,LOC106607201,LOC106607201,NC_138296.1,39927376.0,39979719.0,catfish-bridge:RBH,notch3
W002,Salmo salar,GCF_965601325.1,MYH9,LOC100380669,LOC100380669,NC_138296.1,36618569.0,36651046.0,catfish-bridge:RBH,myh9b
W002,Salmo salar,GCF_965601325.1,MYO18AB,LOC106581247,LOC106581247,NC_138310.1,70335744.0,70505216.0,catfish-bridge:RBH,myo18ab
W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,sox2,sox2,NC_048569.1,67622271.0,67624355.0,source:exact/synonym,
