"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
acaca,"ACACA, ACC1",acetyl-CoA carboxylase alpha,acetyl-CoA carboxylase alpha,ENSDARG00000078512,ZDB-GENE-060526-74,5,56308622.0,56416188.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipogenesis,Harvest body weight (differential expression),Expression,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio,,"Rate-limiting lipogenic enzyme; upregulated in fast-growing rohu supporting elevated anabolism. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita",10.3389/fgene.2023.1153911,37359361,teleost,acaca,B,False,False,direct_symbol_match,high,acaca,NC_069736.1,15620426.0,15661032.0,,chr27,ok,chr27:15620426-15661032,
acacb,"ACACB, ACC2",acetyl-CoA carboxylase beta,acetyl-CoA carboxylase beta,ENSDARG00000061994,ZDB-GENE-060526-132,5,19337108.0,19383694.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid oxidation,Lipid deposition,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Controls malonyl-CoA inhibition of fatty acid oxidation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acacb,C,False,False,direct_symbol_match,high,acacb,NC_069733.1,1226587.0,1255771.0,,chr24,ok,chr24:1226587-1255771,
acana,"ACAN, aggrecan",aggrecan a,aggrecan a,ENSDARG00000035891,ZDB-GENE-050208-221,7,48761646.0,48787379.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Cartilage; body length,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Major cartilage proteoglycan; determines growth-plate expansion,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acana,C,False,False,direct_symbol_match,high,acana,NC_069734.1,9532240.0,9546852.0,,chr25,ok,chr25:9532240-9546852,
aclya,ACLY; acly,ATP citrate lyase a,ATP citrate lyase,ENSDARG00000099079,ZDB-GENE-031113-1,3,17951790.0,18009316.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipogenesis,Body weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Crucial for de novo lipid biosynthesis; growth-associated in trout,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,aclya,A,False,False,direct_symbol_match,high,aclya,NC_069722.1,6293714.0,6319949.0,,chr13,ok,chr13:6293714-6319949,
acss2,ACSS2,acyl-CoA synthetase short chain family member 2,acyl-CoA synthetase short chain family member 2,ENSDARG00000037781,ZDB-GENE-040718-388,23,9230431.0,9291892.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipogenesis,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy8,Activates acetate for lipid synthesis; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,acss2,A,False,False,direct_symbol_match,high,acss2,NC_069725.1,15166217.0,15189059.0,,chr16,ok,chr16:15166217-15189059,
acta1a,ACTA1,"actin alpha 1, skeletal muscle a","actin alpha 1, skeletal muscle a",ENSDARG00000036371,ZDB-GENE-050417-267,1,53945934.0,53953532.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Ctenopharyngodon idella,,Skeletal muscle alpha-actin; sarcomere thin filament,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acta1a,C,False,False,direct_symbol_match,high,acta1a,NC_069735.1,15332850.0,15337294.0,,chr26,ok,chr26:15332850-15337294,
acta1b,ACTA1b,"actin alpha 1, skeletal muscle b","actin alpha 1, skeletal muscle b",ENSDARG00000055618,ZDB-GENE-030131-55,13,24279021.0,24284442.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated skeletal alpha-actin,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acta1b,C,False,False,direct_symbol_match,high,acta1b,NC_069712.1,13056641.0,13059362.0,,chr3,ok,chr3:13056641-13059362,
actn3a,ACTN3,actinin alpha 3a,actinin alpha 3a,ENSDARG00000013755,ZDB-GENE-000329-9,21,27382893.0,27404978.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle fibre type; body weight,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Fast-fibre Z-disc protein; human R577X variant affects muscle performance,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,actn3a,C,False,False,blast_ortholog,high,actn3b,NC_069713.1,10462163.0,10491165.0,BLAST ortholog (protein XP_026792680.1),chr4,ok,chr4:10462163-10491165,actn3b
actn3b,ACTN3b,actinin alpha 3b,actinin alpha 3b,ENSDARG00000001431,ZDB-GENE-030131-2040,7,6969909.0,7133475.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle fibre type,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated fast-fibre alpha-actinin,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,actn3b,C,False,False,direct_symbol_match,high,actn3b,NC_069713.1,10462163.0,10491165.0,,chr4,ok,chr4:10462163-10491165,actn3a
acvr1ba,"ACVR1B, ALK4",activin A receptor type 1Ba,activin A receptor type 1Ba,ENSDARG00000018968,ZDB-GENE-980526-527,23,27800519.0,27822920.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type I activin receptor mediating myostatin signalling in muscle,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,acvr1ba,C,False,False,direct_symbol_match,high,acvr1ba,NC_069725.1,6271547.0,6286395.0,,chr16,ok,chr16:6271547-6286395,
