refseq,chr_name,length,order
NC_069710.1,chr1,36215093,1
NC_069711.1,chr2,35884135,2
NC_069712.1,chr3,34651177,3
NC_069713.1,chr4,33633996,4
NC_069714.1,chr5,32689788,5
NC_069715.1,chr6,31385910,6
NC_069716.1,chr7,30461503,7
NC_069717.1,chr8,30566609,8
NC_069718.1,chr9,30462587,9
NC_069719.1,chr10,29687117,10
NC_069720.1,chr11,27660928,11
NC_069721.1,chr12,26523830,12
NC_069722.1,chr13,26090430,13
NC_069723.1,chr14,26128932,14
NC_069724.1,chr15,25711196,15
NC_069725.1,chr16,25658198,16
NC_069726.1,chr17,25293430,17
NC_069727.1,chr18,21526667,18
NC_069728.1,chr19,22358242,19
NC_069729.1,chr20,22075107,20
NC_069730.1,chr21,21424013,21
NC_069731.1,chr22,21074575,22
NC_069732.1,chr23,20457907,23
NC_069733.1,chr24,20479702,24
NC_069734.1,chr25,19906963,25
NC_069735.1,chr26,20408546,26
NC_069736.1,chr27,19812572,27
NC_069737.1,chr28,17227488,28
NC_069738.1,chr29,16054918,29
NC_069739.1,chr30,12895015,30
