locus_id,conservation_class,blast_support_v2
W024,moderate,1.0
W044,unsupported,1.0
W006,moderate,1.0
W008,moderate,1.0
L027,moderate,1.0
W026,strong,0.0
W025,moderate,1.0
W023,moderate,1.0
W015,moderate,1.0
W061,moderate,1.0
W051,weak,1.0
W056,moderate,1.0
S026,strong,0.0
W040,strong,0.0
W012,moderate,1.0
L018,moderate,1.0
W060,moderate,1.0
W002,weak,1.0
S017,moderate,1.0
L025,moderate,1.0
W022,moderate,1.0
W017,moderate,1.0
W032,weak,1.0
W052,moderate,1.0
L002,moderate,1.0
L004,weak,1.0
W021,moderate,1.0
L008,weak,1.0
C008,native,1.0
C009,native,1.0
C011,native,1.0
C012,native,1.0
C023,native,1.0
