rank,symbol,gene_id,src_start,src_end,src_strand,cat_gene,cat_seqid,cat_pos,cat_symbol,locus_id,species,assembly,anchor_label,anchor_kind
-10,mad2l2,mad2l2,33382502,33401038,+,mad2l2,NC_069717.1,7567532.0,mad2l2,S001,Salmo salar,GCF_965601325.1,E2F,gene
-9,LOC106566890,LOC106566890,33625932,33906460,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-8,LOC106566891,LOC106566891,33981695,34013096,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-7,LOC106566893,LOC106566893,34072874,34075103,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-6,LOC106566894,LOC106566894,34080478,34084641,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-5,LOC106566895,LOC106566895,34084783,34151585,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-4,LOC106566896,LOC106566896,34178217,34290861,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
-3,LOC106566897,LOC106566897,34367905,34388513,-,calcrl2,NC_069725.1,21442817.0,calcrl2,S001,Salmo salar,GCF_965601325.1,E2F,gene
-2,LOC106566898,LOC106566898,34431253,34451209,+,itchb,NC_069725.1,23394981.0,itchb,S001,Salmo salar,GCF_965601325.1,E2F,gene
-1,znf341,znf341,34451124,34459269,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
0,e2f1,e2f1,34459662,34464228,+,e2f1,NC_069725.1,23361901.0,e2f1,S001,Salmo salar,GCF_965601325.1,E2F,gene
1,LOC106566900,LOC106566900,34464341,34473838,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
2,LOC106566902,LOC106566902,34516432,34553374,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
3,LOC106566903,LOC106566903,34561430,34598812,+,LOC113530288,NC_069725.1,23268937.0,LOC113530288,S001,Salmo salar,GCF_965601325.1,E2F,gene
4,LOC106566905,LOC106566905,34598131,34609836,-,tti1,NC_069725.1,23241063.0,tti1,S001,Salmo salar,GCF_965601325.1,E2F,gene
5,ct077,ct077,34610565,34611689,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
6,tgm2a,tgm2a,34614029,34622629,-,tgm2a,NC_069725.1,23224977.0,tgm2a,S001,Salmo salar,GCF_965601325.1,E2F,gene
7,LOC106566904,LOC106566904,34622873,34652057,-,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
8,LOC106566907,LOC106566907,34821026,34851117,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
9,LOC106566908,LOC106566908,34864058,34888037,+,,,,,S001,Salmo salar,GCF_965601325.1,E2F,gene
